DATE;TRIES;SECONDS
2022-09-20 18:32:30;2;7
2022-09-21 06:22:12;2;6
2022-09-21 06:22:21;2;6
2022-09-21 06:22:50;3;15
2022-09-21 06:25:28;2;7
2022-09-21 06:25:35;2;7
2022-09-21 06:25:42;2;6
2022-09-21 06:25:44;2;6
2022-09-21 06:25:49;2;7
2022-09-21 06:26:17;2;6
2022-09-21 06:26:28;3;11
2022-09-21 06:32:50;2;6
2022-09-21 06:33:03;3;11
2022-09-21 06:33:28;2;6
2022-09-21 06:40:34;2;9
2022-09-21 06:46:19;2;6
2022-09-21 07:01:16;2;6
2022-09-21 07:10:14;4;16
2022-09-21 07:11:35;2;5
2022-09-21 07:12:05;6;26
2022-09-21 07:12:13;2;6
2022-09-21 07:16:26;3;12
2022-09-21 07:22:14;6;27
2022-09-21 07:26:57;6;26
2022-09-21 07:29:16;2;7
2022-09-21 07:29:31;3;12
2022-09-21 07:29:37;2;6
2022-09-21 07:33:13;3;11
2022-09-21 07:34:01;4;16
2022-09-21 07:34:15;3;11
2022-09-21 07:34:21;2;6
2022-09-21 07:36:17;2;6
2022-09-21 07:36:23;2;6
2022-09-21 07:36:25;2;5
2022-09-21 07:37:15;2;5
2022-09-21 07:37:16;3;10
2022-09-21 07:37:22;2;6
2022-09-21 07:37:26;3;11
2022-09-21 07:37:30;2;5
2022-09-21 07:37:34;2;6
2022-09-21 07:37:35;3;11
2022-09-21 07:37:35;2;5
2022-09-21 07:37:46;3;11
2022-09-21 07:37:49;4;16
2022-09-21 07:37:58;3;11
2022-09-21 07:38:05;2;7
2022-09-21 07:41:22;3;11
2022-09-21 07:41:28;2;6
2022-09-21 07:42:34;2;5
2022-09-21 07:42:40;2;6
2022-09-21 07:42:43;2;6
2022-09-21 07:42:46;2;6
2022-09-21 07:42:49;2;6
2022-09-21 07:42:51;3;11
2022-09-21 07:42:56;5;22
2022-09-21 07:45:01;5;21
2022-09-21 07:45:07;2;6
2022-09-21 07:45:14;2;6
2022-09-21 07:45:20;2;6
2022-09-21 07:46:18;2;7
2022-09-21 07:51:22;3;11
2022-09-21 07:51:25;2;6
2022-09-21 07:51:32;2;6
2022-09-21 07:51:38;2;6
2022-09-21 07:53:53;2;5
2022-09-21 07:54:02;4;17
2022-09-21 07:54:06;5;22
2022-09-21 07:54:10;4;17
2022-09-21 08:01:35;3;11
2022-09-21 08:01:51;4;16
2022-09-21 08:09:47;2;8
2022-09-21 08:11:18;2;8
2022-09-21 08:11:26;2;8
2022-09-21 08:15:03;3;12
2022-09-21 08:15:11;2;7
2022-09-21 08:15:23;4;17
2022-09-21 08:26:37;2;6
2022-09-21 08:30:32;2;6
2022-09-21 08:31:58;7;31
2022-09-21 08:41:22;2;7
2022-09-21 08:41:34;3;12
2022-09-21 08:43:38;2;9
2022-09-21 08:43:52;2;9
2022-09-21 08:44:01;2;9
2022-09-21 08:46:24;2;7
2022-09-21 08:46:36;2;6
2022-09-21 08:46:39;2;5
2022-09-21 08:51:30;2;6
2022-09-21 08:57:06;5;21
2022-09-21 08:57:22;4;16
2022-09-21 08:59:15;5;20
